,2020-09-30 00:00:00,2020-11-02 00:00:00,2020-11-30 00:00:00,2020-12-31 00:00:00,2021-02-01 00:00:00,2021-03-31 00:00:00,2021-04-30 00:00:00,2021-05-31 00:00:00,2021-06-30 00:00:00,2021-08-02 00:00:00,2021-08-31 00:00:00,2021-11-30 00:00:00,2021-12-31 00:00:00,2022-01-31 00:00:00,2022-02-28 00:00:00,2022-03-31 00:00:00,2022-05-02 00:00:00,2022-05-31 00:00:00,2022-06-30 00:00:00,2022-08-01 00:00:00,2022-08-31 00:00:00,2022-09-30 00:00:00,2022-10-31 00:00:00,2022-11-30 00:00:00,2023-01-02 00:00:00,2023-01-31 00:00:00,2023-02-28 00:00:00,2023-05-31 00:00:00,2023-06-30 00:00:00,2023-07-31 00:00:00,2023-08-31 00:00:00,2023-10-16 00:00:00,2023-10-17 00:00:00,2023-10-18 00:00:00,2023-10-19 00:00:00,2023-10-20 00:00:00,2023-10-23 00:00:00,2023-10-24 00:00:00,2023-10-25 00:00:00,2023-10-26 00:00:00,2023-10-27 00:00:00,2023-10-30 00:00:00,2023-10-31 00:00:00
Q105Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00409542844580819,0.019849241942877974,0.01842572461520297,0.017386946951129068,0.02391936484833145,0.03296293441633612,0.02270964822566621,0.023021082040140202,0.03122916500925394,0.016001816787926733,0.00352060824257096,-0.0084791977228485
Q106Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004151128919982834,0.0027595584280155397,-0.0034299686876626085,-0.0034071540618147212,-0.0004297233202646637,0.011506977963970351,0.010241004778007847,0.014139089240800155,0.018017539899359707,0.01973241644575799,-0.003418775406109735,0.0068808381360339
Q107Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002889080946015581,0.005012105901538864,0.006991257337178625,0.0035686462030871217,0.003040782463666991,0.011827621869123244,0.0016923212588752015,0.009203806242547031,0.01985569506096299,0.010035481807178889,-0.0010610917611052007,-0.013931436853915307
Q108Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00262967656555504,0.009857237394777032,0.011186483632727158,0.007508801576594379,0.002882911598796925,0.0126782596009205,0.004115221539978561,0.0017186751442478656,0.006438384581625935,-0.008868897730145448,-0.008845461017172762,-0.00953500134456158
Q109Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009993948946401946,-0.0020811166040634902,-0.005123663727985516,-0.00439400759969584,-0.005082080347473373,-0.0008477207691467178,-0.005597975928495215,-0.015150083912946375,-0.021018989358595756,-0.034075295205142436,-0.02869458714446307,-0.00888957806356297
Q110Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001280593330851109,7.133538206443866e-05,0.00978568808594857,0.014888491101878345,0.010574840386035341,0.030400479476391448,0.013719262420917581,0.002191767272770723,0.006428504844265865,0.0042673527612378075,0.020138921315351107,-0.005830323474003722
Q153Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00293439375094913,-0.0002761838540537871,0.004015735459255217,0.0008709465272608185,-0.01176504945957531,-0.011096498140292479,-0.023637533803330425,-0.049556013353059016,-0.0306091406803349,0.018172515323839573,0.034916666769919176,0.03200271014159657
Q154Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001571260010948552,-0.05389695427088833,-0.04054625646144946,-0.042546853048365106,-0.05213497851136287,-0.05590795323051399,-0.05621144559805517,-0.05882368681324922,-0.07167696348253284,-0.05907194690758066,-0.04274666080736956,0.014462546478284419
Q155Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004796553700916018,-0.030711288447208246,-0.014480598977114125,-0.012985896514935112,0.024670692664494554,0.005406656680241832,0.030214953529343138,0.028841433458958874,0.023122942059706286,0.04029246625219485,0.01838726484395978,0.05982018495367166
Q156Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007441385278213518,-0.011022048734917233,0.0062015451892760065,-0.004896620434313015,-0.0008636294923379635,-0.016339837070571114,-0.0015724409139637738,0.016928734457755872,0.011677145172268909,0.07109190969323047,0.07046498361857227,0.06289553371581065
Q158Non_Multi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00023699735158177446,0.005386393746305931,-0.0032733562290744303,-0.005225902353433178,-0.022891215920443037,-0.015385968313642947,-0.04543723314912325,-0.06490791998285098,-0.06972347696836052,-0.049717254070034196,-0.025949680325111822,-0.015531609750251042
